分类(必填)	问题(必填)	相似问题(选填-多个用##分隔)	反例问题(选填-多个用##分隔)	机器人回答(必填-多个用##分隔)	是否全部回复(选填-默认FALSE)	是否停用(选填-默认FALSE)	是否禁止被推荐(选填--默认False 可被推荐)
业务咨询	咨询退换货政策	你好，我想了解一下你们的退换货政策		您好，我们的退换货政策如下：[退换货条件]、[退换货流程]、[退换货时限]。。请注意，企业内部商城的退换货政策可能与外部商城有所不同，具体请参照[企业内部退换货政策]。	FALSE	FALSE	FALSE
业务咨询	咨询优惠券使用规则	你好，我想了解一下优惠券的使用规则		您好，优惠券的使用规则如下：[优惠券类型]、[优惠券金额]、[优惠券有效期]、[优惠券使用条件]	FALSE	FALSE	FALSE
业务咨询	查询订单状态	你好，我想查询一下我的订单状态		您好，您的订单状态如下：[订单号]、[订单金额]、[下单时间]、[预计送达时间]；如有需要，您可以联系我们的采购部门了解详细进展。	FALSE	FALSE	FALSE
业务咨询	查询商品信息 	你好，我想了解一下这款商品的具体信息		您好，这款商品的具体信息如下：[商品名称]、[商品价格]、[商品描述]、[商品评价]	FALSE	FALSE	FALSE
业务咨询	查询物流信息 话术	你好，我想查询一下我的物流信息		您好，您的物流信息如下：[物流公司]、[物流单号]、[发货时间]、[预计送达时间]	FALSE	FALSE	FALSE
业务咨询	投诉或建议 	你好，我想了解一下你们的售后服务		您好，非常抱歉给您带来不便，请您详细描述一下您遇到的问题，我们会尽快为您解决。LINE_BREAKLINE_BREAKLINE_BREAKLINE_BREAKLINE_BREAK##您好，非常抱歉给您带来不便，请您详细描述一下您遇到的问题，我们会尽快为您解决。如有需要，您可以联系我们的客户服务部门提出建议或投诉。	FALSE	FALSE	FALSE
产品功能	产品功能	你好，我想了解一下这款产品的具体功能。		您好，这款产品的具体功能如下：[产品名称]主要功能包括[功能1]，[功能2]，[功能3]。具体使用方法请参照产品说明书或咨询售后服务。	FALSE	FALSE	FALSE
产品功能	产品价格	你好，我想了解一下这款产品的价格。		 答案： 您好，这款产品的价格根据[规格/型号]不同，价格也有所差异。具体价格请您参照产品购买页面或联系销售人员进行查询。	FALSE	FALSE	FALSE
产品功能	产品缺点	你好，我想了解一下这款产品的缺点。		 答案： 您好，这款产品可能存在[缺点1]，[缺点2]，[缺点3]等问题。但我们一直在持续改进，并为客户提供售后服务和技术支持，以解决这些问题。	FALSE	FALSE	FALSE
产品功能	产品适用范围	你好，我想了解一下这款产品的具体功能		您好，这款产品主要适用于[适用范围1]，[适用范围2]，[适用范围3]。在[特定条件]下，也可以用于[额外用途]。	FALSE	FALSE	FALSE
产品功能	产品优点 	你好，我想了解一下这款产品的优点。		 您好，这款产品的主要优点包括[优点1]，[优点2]，[优点3]。但是，每个用户的使用体验可能会有所不同，具体效果会因实际情况而有所差异。	FALSE	FALSE	FALSE
产品功能	了解产品购买方式	你好，我想了解一下购买这款产品的途径。		 您好，您可以通过我们的官方网站或授权的电商平台进行购买。购买时请确保选择正规渠道，以保证产品的正品质量和售后服务。	FALSE	FALSE	FALSE
产品功能	了解产品售后服务	你好，我想了解一下这款产品的售后服务。 答案：		 您好，我们为这款产品提供[售后服务内容]的保障。在[保修期内]，如果您在使用过程中遇到任何问题，都可以随时联系我们，我们将竭诚为您提供技术支持和维修服务。	FALSE	FALSE	FALSE
打招呼	请商城里面的自提点有几个	配送点有几个		目前商城里面支持2个配送点，一个是北京办公室，一个大连办公室	FALSE	FALSE	FALSE
打招呼	打招呼	你好啊##您好，我是金信文创客服融小宝，很高兴为您服务！ 		你好，我在的LINE_BREAK##您好，我是金信文创客服融小宝，很高兴为您服务！ 	FALSE	FALSE	FALSE
